"","item_no","week","sold","year_total","best_seller","year","calendar_week","calendar_year","date","wk_ending_year","month","lag1","lag2","rolling_4wk_avg"
"1","020-307",0,0,880,0,2022,52,2021,2023-12-24,2023,12,NA,NA,NA
"2","020-307",1,80,880,0,2022,1,2022,2022-01-02,2022,1,0,NA,NA
"3","020-307",2,0,880,0,2022,2,2022,2022-01-09,2022,1,80,0,NA
"4","020-307",3,0,880,0,2022,3,2022,2022-01-16,2022,1,0,80,20
"5","020-307",4,0,880,0,2022,4,2022,2022-01-23,2022,1,0,0,20
"6","020-307",5,0,880,0,2022,5,2022,2022-01-30,2022,1,0,0,0
"7","020-307",6,0,880,0,2022,6,2022,2022-02-06,2022,2,0,0,0
"8","020-307",7,0,880,0,2022,7,2022,2022-02-13,2022,2,0,0,0
"9","020-307",8,80,880,0,2022,8,2022,2022-02-20,2022,2,0,0,20
"10","020-307",9,0,880,0,2022,9,2022,2022-02-27,2022,2,80,0,20
"11","020-307",10,0,880,0,2022,10,2022,2022-03-06,2022,3,0,80,20
"12","020-307",11,80,880,0,2022,11,2022,2022-03-13,2022,3,0,0,40
"13","020-307",12,0,880,0,2022,12,2022,2022-03-20,2022,3,80,0,20
"14","020-307",13,0,880,0,2022,13,2022,2022-03-27,2022,3,0,80,20
"15","020-307",14,0,880,0,2022,14,2022,2022-04-03,2022,4,0,0,20
"16","020-307",15,0,880,0,2022,15,2022,2022-04-10,2022,4,0,0,0
"17","020-307",16,0,880,0,2022,16,2022,2022-04-17,2022,4,0,0,0
"18","020-307",17,0,880,0,2022,17,2022,2022-04-24,2022,4,0,0,0
"19","020-307",18,0,880,0,2022,18,2022,2022-05-01,2022,5,0,0,0
"20","020-307",19,80,880,0,2022,19,2022,2022-05-08,2022,5,0,0,20
"21","020-307",20,0,880,0,2022,20,2022,2022-05-15,2022,5,80,0,20
"22","020-307",21,80,880,0,2022,21,2022,2022-05-22,2022,5,0,80,40
"23","020-307",22,0,880,0,2022,22,2022,2022-05-29,2022,5,80,0,40
"24","020-307",23,0,880,0,2022,23,2022,2022-06-05,2022,6,0,80,20
"25","020-307",24,0,880,0,2022,24,2022,2022-06-12,2022,6,0,0,20
"26","020-307",25,0,880,0,2022,25,2022,2022-06-19,2022,6,0,0,0
"27","020-307",26,0,880,0,2022,26,2022,2022-06-26,2022,6,0,0,0
"28","020-307",27,0,880,0,2022,27,2022,2022-07-03,2022,7,0,0,0
"29","020-307",28,0,880,0,2022,28,2022,2022-07-10,2022,7,0,0,0
"30","020-307",29,0,880,0,2022,29,2022,2022-07-17,2022,7,0,0,0
"31","020-307",30,80,880,0,2022,30,2022,2022-07-24,2022,7,0,0,20
"32","020-307",31,0,880,0,2022,31,2022,2022-07-31,2022,7,80,0,20
"33","020-307",32,0,880,0,2022,32,2022,2022-08-07,2022,8,0,80,20
