"","week","month","item_no","diff","type","total_sold"
"1",3,1,"020-307",-42.2459973183478,"Actual",0
"2",3,1,"020-307",-42.2459973183478,"Predicted",42.2459973183478
"3",4,1,"020-307",-42.6770964651858,"Actual",0
"4",4,1,"020-307",-42.6770964651858,"Predicted",42.6770964651858
"5",5,1,"020-307",-40.5921728919214,"Actual",0
"6",5,1,"020-307",-40.5921728919214,"Predicted",40.5921728919214
"7",6,2,"020-307",-40.1476908280848,"Actual",0
"8",6,2,"020-307",-40.1476908280848,"Predicted",40.1476908280848
"9",7,2,"020-307",-40.1476908280848,"Actual",0
"10",7,2,"020-307",-40.1476908280848,"Predicted",40.1476908280848
"11",8,2,"020-307",37.7902153972736,"Actual",80
"12",8,2,"020-307",37.7902153972736,"Predicted",42.2097846027264
"13",9,2,"020-307",-41.8325872076282,"Actual",0
"14",9,2,"020-307",-41.8325872076282,"Predicted",41.8325872076282
"15",10,3,"020-307",-41.3258799672747,"Actual",0
"16",10,3,"020-307",-41.3258799672747,"Predicted",41.3258799672747
"17",11,3,"020-307",36.1081413169893,"Actual",80
"18",11,3,"020-307",36.1081413169893,"Predicted",43.8918586830107
"19",12,3,"020-307",-41.3745226751584,"Actual",0
"20",12,3,"020-307",-41.3745226751584,"Predicted",41.3745226751584
"21",13,3,"020-307",-41.3258799672747,"Actual",0
"22",13,3,"020-307",-41.3258799672747,"Predicted",41.3258799672747
"23",14,4,"020-307",-41.2904559641962,"Actual",0
"24",14,4,"020-307",-41.2904559641962,"Predicted",41.2904559641962
"25",15,4,"020-307",-39.2732745689995,"Actual",0
"26",15,4,"020-307",-39.2732745689995,"Predicted",39.2732745689995
"27",16,4,"020-307",-39.2732745689995,"Actual",0
"28",16,4,"020-307",-39.2732745689995,"Predicted",39.2732745689995
"29",17,4,"020-307",-39.2732745689995,"Actual",0
"30",17,4,"020-307",-39.2732745689995,"Predicted",39.2732745689995
"31",18,5,"020-307",-38.8432343693648,"Actual",0
"32",18,5,"020-307",-38.8432343693648,"Predicted",38.8432343693648
"33",19,5,"020-307",39.161672260932,"Actual",80
"34",19,5,"020-307",39.161672260932,"Predicted",40.838327739068
"35",20,5,"020-307",-40.4733860321078,"Actual",0
"36",20,5,"020-307",-40.4733860321078,"Predicted",40.4733860321078
"37",21,5,"020-307",37.4978188838511,"Actual",80
"38",21,5,"020-307",37.4978188838511,"Predicted",42.5021811161489
"39",22,5,"020-307",-42.5522083916018,"Actual",0
"40",22,5,"020-307",-42.5522083916018,"Predicted",42.5522083916018
"41",23,6,"020-307",-39.9831424418106,"Actual",0
"42",23,6,"020-307",-39.9831424418106,"Predicted",39.9831424418106
"43",24,6,"020-307",-40.391150293174,"Actual",0
"44",24,6,"020-307",-40.391150293174,"Predicted",40.391150293174
"45",25,6,"020-307",-38.4179030862981,"Actual",0
